"name","id"
"Bad Griesbach","8000707"
"Bad Gandersheim","8000352"
"Bad Friedrichshall-Kochendorf","8000704"
"Bad Honnef (Rhein)","8000713"
"Bad Harzburg","8000019"
"Bad Friedrichshall Hbf","8000017"
"Bad Karlshafen","8003182"
"Bad Hönningen","8000711"
"Bad Hersfeld","8000020"
"Bad Kissingen","8000714"
"Bad Kohlgrub Kurhaus","8000717"
"Bad Kleinen","8010018"
"Bad Kohlgrub","8000716"
"Bad Köstritz","8011074"
"Bad König","8000715"
"Bad Homburg","8000712"
"Bad Kösen","8010019"
"Bad Krozingen","8000718"
"Bad Liebenzell","8000721"
"Bad Lausick","8011077"
"Bad Langensalza","8010020"
"Bad Liebenwerda","8011078"
"Bad Münder (Deister)","8000725"
"Bad Kreuznach","8000021"
"Bad Münstereifel","8000727"
"Bad Münster am Stein","8000726"
"Bad Nenndorf","8000022"
"Bad Nauheim","8000728"
"Bad Neuenahr","8000729"
"Bad Neustadt (Saale)","8000730"
"Bad Niedernau","8000731"
"Bad Oeynhausen Süd","8000733"
"Bad Peterstal","8000734"
"Bad Pyrmont","8000735"
"Bad Oeynhausen","8000732"
"Bad Rappenau","8000736"
"Bad Reichenhall-Kirchberg","8000738"
"Bad Reichenhall","8000737"
"Bad Saarow","8011079"
"Bad Sachsa","8000739"
"Bad Oldesloe","8000023"
"Bad Salzdetfurth","8000740"
"Bad Säckingen","8005255"
"Bad Salzhausen","8000741"
"Boppard-Bad Salzig","8000742"
"Bad Salzschlirf","8000743"
"Bad Schönborn Süd","8003533"
"Bad Sassendorf","8000745"
"Bad Salzungen","8010021"
"Bad Schönborn Kronau","8004032"
"Bad Salzuflen","8000744"
"Bad Schandau","8010022"
"Bad Schussenried","8000746"
"Bad Sebastiansweiler-Belsen","8000750"
"Bad Schwartau","8000749"
"Bad Segeberg","8000751"
"Bad St Peter-Ording","8000755"
"Bad St Peter Süd","8000754"
"Bad Soden-Salmünster","8005261"
"Bad Soden (Taunus)","8000752"
"Bad Steben","8000756"
"Bad Sooden-Allendorf","8000753"
"Bad Sulza","8011085"
"Bad Teinach-Neubulach","8000757"
"Bad Tölz","8000758"
"Bad Waldsee","8000763"
"Bad Wilsnack","8011088"
"Bad Windsheim","8000767"
"Bad Wörishofen","8000768"
"Bad Wimpfen-Hohenstadt","8000766"
"Bad Wimpfen","8000765"
"Bad Zwischenahn","8000770"
"Bad Vilbel Süd","8000761"
"Bad Vilbel","8000760"
"Baddeckenstedt","8000772"
"Baden (Kr Verden)","8000773"
"Bagenz","8011097"
"Bahnsdorf","8011098"
"Baitz","8011100"
"Baierbrunn","8000781"
"Baiersdorf","8000783"
"Balbersdorf","8000784"
"Baldham","8000785"
"Baden-Baden","8000774"
"Balduinstein","8000786"
"Balgstädt","8011103"
"Bahrenfeld","8000780"
"Balingen (Württ)","8000353"
"Ballstädt (Kr Gotha)","8011106"
"Balve","8000793"
"Balingen Süd","8000788"
"Baltersweiler","8000792"
"Dortmund-Somborn","8001549"
"Bammental","8000794"
"Banteln","8000796"
"Bantorf","8000797"
"Bärenhecke-Johnsbach","8011091"
"Bardowick","8000801"
"Bärenklau","8011093"
"Bärenstein (b Glashütte/Sachs)","8011095"
"Barleben","8011111"
"Bargteheide","8000804"
"Barleber See","8011112"
"Bamberg","8000025"
"Barthmühle","8011115"
"Barnstorf (Han)","8000807"
"Barnten","8000808"
"Barrien","8000810"
"Barsinghausen","8000812"
"Baruth (Mark)","8011116"
"Batzenhäusle","8000821"
"Bäumenheim","8000778"
"Bassum","8000354"
"Batzhausen","8000822"
"Baunach","8000826"
"Barmbek","8000805"
"Bavendorf","8000827"
"Bautzen","8010026"
"Bayerisch Eisenstein","8000830"
"Leverkusen Chempark","8000832"
"Bayrischzell","8000834"
"Bayerisch Gmain","8000831"
"Bebitz","8011119"
"Baumschulenweg","8089004"
"Bebra","8000029"
"Bedburg-Hau","8000842"
"Beckingen (Saar)","8000840"
"Bedburg (Erft)","8000030"
"Beelen","8000846"
"Beelitz-Heilstätten","8013467"
"Burhafe","8001301"
"Beelitz Stadt","8013468"
"Bayreuth Hbf","8000028"
"Beeskow","8010029"
"Behringersdorf","8000850"
"Beilrode","8011131"
"Beetz-Sommerfeld","8011125"
"Beienheim","8000851"
"Beldorf","8000860"
"Malsfeld-Beiseförth","8000859"
"Beimerstetten","8000858"
