date,departure_time,arrival_time,stops,price,tickettype
20181119,2018-11-19T06:59:00.000Z,2018-11-19T12:15:00.000Z,3,29.9,Super Sparpreis
20181119,2018-11-19T07:30:00.000Z,2018-11-19T11:44:00.000Z,1,99.9,Super Sparpreis
20181119,2018-11-19T07:30:00.000Z,2018-11-19T12:30:00.000Z,3,99.9,Super Sparpreis
20181119,2018-11-19T07:51:00.000Z,2018-11-19T12:00:00.000Z,2,99.9,Super Sparpreis
20181119,2018-11-19T08:28:00.000Z,2018-11-19T12:44:00.000Z,1,89.9,Super Sparpreis
20181119,2018-11-19T08:37:00.000Z,2018-11-19T12:44:00.000Z,2,89.9,Super Sparpreis
20181119,2018-11-19T08:49:00.000Z,2018-11-19T13:00:00.000Z,2,99.9,Super Sparpreis
20181119,2018-11-19T09:30:00.000Z,2018-11-19T13:44:00.000Z,1,79.9,Super Sparpreis
20181119,2018-11-19T10:04:00.000Z,2018-11-19T13:56:00.000Z,1,89.9,Super Sparpreis
20181119,2018-11-19T10:28:00.000Z,2018-11-19T14:44:00.000Z,1,79.9,Super Sparpreis
20181119,2018-11-19T10:49:00.000Z,2018-11-19T15:00:00.000Z,2,89.9,Super Sparpreis
20181119,2018-11-19T11:05:00.000Z,2018-11-19T15:36:00.000Z,2,109.9,Super Sparpreis
20181119,2018-11-19T11:30:00.000Z,2018-11-19T15:44:00.000Z,1,89.9,Super Sparpreis
20181119,2018-11-19T11:51:00.000Z,2018-11-19T16:00:00.000Z,2,79.9,Super Sparpreis
20181119,2018-11-19T12:28:00.000Z,2018-11-19T16:44:00.000Z,1,79.9,Super Sparpreis
20181119,2018-11-19T12:33:00.000Z,2018-11-19T16:53:00.000Z,2,79.9,Super Sparpreis
20181119,2018-11-19T12:37:00.000Z,2018-11-19T16:44:00.000Z,2,25.9,Super Sparpreis
20181119,2018-11-19T12:49:00.000Z,2018-11-19T17:00:00.000Z,2,79.9,Super Sparpreis
20181119,2018-11-19T13:30:00.000Z,2018-11-19T17:44:00.000Z,1,79.9,Super Sparpreis
20181119,2018-11-19T14:04:00.000Z,2018-11-19T17:56:00.000Z,1,79.9,Super Sparpreis
20181119,2018-11-19T14:33:00.000Z,2018-11-19T18:40:00.000Z,1,25.9,Super Sparpreis
20181119,2018-11-19T14:37:00.000Z,2018-11-19T18:44:00.000Z,2,79.9,Super Sparpreis
20181119,2018-11-19T14:49:00.000Z,2018-11-19T19:00:00.000Z,2,99.9,Super Sparpreis
20181119,2018-11-19T15:30:00.000Z,2018-11-19T19:44:00.000Z,1,67.9,Super Sparpreis
